Region;Province;Commune;Secteur_Village;Emplacement;Bureau_de_vote;Inscrits
BOUCLE DU MOUHOUN;BALE;BAGASSI;ASSIO;ASSIO II\ECOLE;Bureau de vote 1;348
BOUCLE DU MOUHOUN;BALE;BAGASSI;BADIE;ECOLE;Bureau de vote 1;239
BOUCLE DU MOUHOUN;BALE;BAGASSI;BAGASSI;ECOLE;Bureau de vote 1;441
BOUCLE DU MOUHOUN;BALE;BAGASSI;BAGASSI;ECOLE;Bureau de vote 2;393
BOUCLE DU MOUHOUN;BALE;BAGASSI;BAGASSI;TINIEYIO\ECOLE;Bureau de vote 1;439
BOUCLE DU MOUHOUN;BALE;BAGASSI;BAGASSI;TINIEYIO\ECOLE;Bureau de vote 2;201
BOUCLE DU MOUHOUN;BALE;BAGASSI;BANDIO;ECOLE;Bureau de vote 1;325
BOUCLE DU MOUHOUN;BALE;BAGASSI;BANOU;ECOLE;Bureau de vote 1;314
BOUCLE DU MOUHOUN;BALE;BAGASSI;BASSOUAN;ECOLE;Bureau de vote 1;252
BOUCLE DU MOUHOUN;BALE;BAGASSI;BOUNOU;ECOLE1;Bureau de vote 1;353
BOUCLE DU MOUHOUN;BALE;BAGASSI;BOUNOU;ECOLE2\ECOLE1;Bureau de vote 1;329
BOUCLE DU MOUHOUN;BALE;BAGASSI;DOUSSI;ECOLE B;Bureau de vote 1;369
BOUCLE DU MOUHOUN;BALE;BAGASSI;HAHO;CENTRE\CENTRE ALPHABETISATION;Bureau de vote 1;212
BOUCLE DU MOUHOUN;BALE;BAGASSI;KAHIN;ECOLE;Bureau de vote 1;390
BOUCLE DU MOUHOUN;BALE;BAGASSI;KAHO;ECOLE;Bureau de vote 1;347
BOUCLE DU MOUHOUN;BALE;BAGASSI;KANA;ECOLE;Bureau de vote 1;322
BOUCLE DU MOUHOUN;BALE;BAGASSI;KAYIO;ECOLE;Bureau de vote 1;301
BOUCLE DU MOUHOUN;BALE;BAGASSI;KOUSSARO;ECOLE;Bureau de vote 1;415
BOUCLE DU MOUHOUN;BALE;BAGASSI;MANA;ECOLE;Bureau de vote 1;458
BOUCLE DU MOUHOUN;BALE;BAGASSI;MANA;ECOLE;Bureau de vote 2;443
BOUCLE DU MOUHOUN;BALE;BAGASSI;MANZOULE;MANZOULE\ECOLE;Bureau de vote 1;166
BOUCLE DU MOUHOUN;BALE;BAGASSI;MOKO;HANGAR;Bureau de vote 1;393
BOUCLE DU MOUHOUN;BALE;BAGASSI;NIAGA;NIAGA\ECOLE;Bureau de vote 1;196
BOUCLE DU MOUHOUN;BALE;BAGASSI;NIAKONGO;ECOLE;Bureau de vote 1;357
BOUCLE DU MOUHOUN;BALE;BAGASSI;OUANGA;OUANGA\ECOLE;Bureau de vote 1;164
BOUCLE DU MOUHOUN;BALE;BAGASSI;PAHIN;ECOLE;Bureau de vote 1;375
BOUCLE DU MOUHOUN;BALE;BAGASSI;SAYARO;ECOLE;Bureau de vote 1;461
BOUCLE DU MOUHOUN;BALE;BAGASSI;SIPOHIN;ECOLE;Bureau de vote 1;322
BOUCLE DU MOUHOUN;BALE;BAGASSI;SOKOURA;ECOLE;Bureau de vote 1;184
BOUCLE DU MOUHOUN;BALE;BAGASSI;VY;ECOLE1;Bureau de vote 1;531
BOUCLE DU MOUHOUN;BALE;BAGASSI;VY;ECOLE2\ECOLE1;Bureau de vote 1;451
BOUCLE DU MOUHOUN;BALE;BAGASSI;VYRWA;VIRWA\ECOLE;Bureau de vote 1;141
BOUCLE DU MOUHOUN;BALE;BAGASSI;YARO;ECOLE;Bureau de vote 1;476
BOUCLE DU MOUHOUN;BALE;BANA;BANA;KOKOBE\PREFECTURE;Bureau de vote 1;444
BOUCLE DU MOUHOUN;BALE;BANA;BANA;SOBE\ANCIENNE MAIRIE;Bureau de vote 1;378
BOUCLE DU MOUHOUN;BALE;BANA;BANA;SOKOURA\ECOLE A;Bureau de vote 1;463
BOUCLE DU MOUHOUN;BALE;BANA;BANA;SOKOURA\ECOLE A;Bureau de vote 2;108
BOUCLE DU MOUHOUN;BALE;BANA;BASSANA;ECOLE;Bureau de vote 1;397
BOUCLE DU MOUHOUN;BALE;BANA;BISSA;ECOLE;Bureau de vote 1;216
BOUCLE DU MOUHOUN;BALE;BANA;DANOU;ECOLE;Bureau de vote 1;475
BOUCLE DU MOUHOUN;BALE;BANA;FOFINA;CENTRE;Bureau de vote 1;103
BOUCLE DU MOUHOUN;BALE;BANA;SIENKORO;ECOLE;Bureau de vote 1;207
BOUCLE DU MOUHOUN;BALE;BANA;SOLONSO;ECOLE;Bureau de vote 1;258
BOUCLE DU MOUHOUN;BALE;BANA;SOMONA;CENTRE;Bureau de vote 1;269
BOUCLE DU MOUHOUN;BALE;BANA;WONA;CFJA;Bureau de vote 1;407
BOUCLE DU MOUHOUN;BALE;BANA;WONA;CFJA;Bureau de vote 2;251
BOUCLE DU MOUHOUN;BALE;BANA;WONA;ECOLE A;Bureau de vote 1;379
