TOFE 2008,,,,,
,Prévisions Loi initiale,Prévisions Loi rectificative,Programme, Projections,Total
1. Recettes totales et dons,690522753,721299515,705976754,698700000,630752098
1.1. Recettes totales,507861787,507861,477670754,479600000,483833898
1.1.1. Recettes courantes,507684083,507684083,477493050,479420740,483826572
1.1.1.1 Recettes fiscales*,475454992,475454992,445452909,446000000,444671069
1.1.1.2  Recettes non fiscales,32229091,32229091,32040141,33420740,39155503
1.1.2. Recettes en capital,177704,177704,177704,179260,7326
1.2. Dons,182660966,213437728,228306000,219100000,146918200
1.2.1. projets,118478628,118478628,162000000,118500000,58684742
1.2.2. programme,64182338,94959100,66306000,100600000,88233458
T ab. 7 2. Dépenses et prêts nets 1/,947855438,965914370,925127897,885500000,791858183
2.1. Dépenses courantes,446267629,455830850,452513464,446360000,455189053
Salaires,193696088,198996088,193700000,198000000,198826233
Dépenses de Fonctionnement,100255998,100611675,104500000,99300000,95308772
Intérêts dus,13113463,13613503,13113464,13700000,12693275
T ransferts courants*,139202080,142609584,141200000,135360000,148360773
2.2. Dépenses en capital,504513376,513009087,450540000,424340000,325066705
financées sur ressources propres,203188405,217684116,163630000,185930000,194252124
 transferts en capital et restructurations,13710000,7710000,13710000,13710000,6172216
financées sur ressources extérieures,287614971,287614971,273200000,224700000,124642365
       sur Dons,118478628,118478628,162000000,118500000,55313362
      sur Prêts,169136343,169136343,111200000,106200000,69329003
2.3. Prêts nets 2/,-2925567,-2925567,22074433,14800000,11602425
3. Solde global (base engagement),-257332685,-244614855,-219151143,-186800000,-161106085
4. Ajustement caisse,0,0,0,-8800000,19231371
5. Solde global base caisse ,-257332685,-244614855,-219151143,-195600000,-141874714
Solde global base caisse hors dons,-439993651,-458052583,-447457143,-414700000,-288792914
6. Financement,258946187,250306492,204883823,186200000,144781922
6.1. Financement exterieur,205976187,204836687,144100000,144200000,102279659
6.2. Financement interieur,52970000,45469805,60783823,42000000,42502263
Erreurs et omissions(-=surfinancement),ss,,,,-2907208
Gap de financement,-1613502,-5691637,14267320,9400000,0
