Année,TOFE,Prévisions  Loi Fin initiale ,Prévisions Loi Fin rect,Programme initial 2009,Programme révisé Sept-09,Total Réalisations
2009,1. Recettes totales et dons,777411763,854628211,757001698,778100000,771523642
2009,1.1. Recettes totales,573560750,575560750,536401698,506900000,539095255
2009,1.1.1. Recettes courantes,573554049,575554049,536395236,506892016,539091339
2009,1.1.1.1 Recettes fiscales*,536333980,536333980,500501698,463100000,494578785
2009,Impôts sur revenus et bénéfices,153540710,153540710,120200000,106300000,106686380
2009,dont impôts sur BIC sociétés,81520601,81520601,63818750,54361738,48844656
2009,Impôt sur la main d'œuvre,4275522,4275522,7110907,6212276,6243252
2009,Impôt sur la propriété,2958755,2958755,4920904,4299032,3487126
2009,Taxes sur biens et services,300415690,300415690,273900000,257000000,282942742
2009,Autres recettes fiscales,3708701,3708701,6168189,5388693,5490214
2009,1.1.1.2  Recettes non fiscales,37220069,39220069,35893538,43792016,44512554
2009,1.1.2. Recettes en capital,6701,6701,6462,7984,3917
2009,1.2. Dons,203851013,279067461,220600000,271200000,232428386
2009,1.2.1. projets,134851013,140006503,167800000,129900000,86924440
2009,1.2.2. programmes,69000000,139060958,52800000,141300000,145503947
2009,2. Dépenses totales et prêts nets ,1002583131,1093788349,943000000,1035600000,959595011
2009,2.1. Dépenses totales,1005136881,1098388349,945000000,1040600000,956438735
2009,2.1.1. Dépenses courantes,468980531,503576509,466000000,514900000,499074562
2009,Salaires,207396156,229900000,203000000,229900000,228436133
2009,Dépenses de fonctionnement,100394000,101960023,99800000,112200000,95120137
2009,Intérêts dus,13861999,13900000,19900000,14000000,16870967
2009,sur dette intérieure,6161109,7700000,8844761,6222445,8121736
2009,sur dette extérieure,7700890,6200000,11055239,7777555,8749231
2009,Transferts courants,147328376,157816486,143300000,158800000,158647325
2009,2.1.2. Dépenses en capital,536156350,594811840,479000000,525700000,457364172
2009,Investissements sur ressources propres,228838772,228838772,187000000,232800000,235606283
2009,Transferts en capital et restructurations,7000000,25500000,0,25500000,25423713
2009,Investissements sur ressources extérieures,300317578,340473068,292000000,267400000,196334176
2009,        Dons,134851013,140006503,167800000,129900000,86924440
2009,        Prêts,165466565,200466565,124200000,137500000,109409736
2009,2.2. Prêts nets ,-2553750,-4600000,-2000000,-5000000,3156276
2009,3. Solde global (base engagement),-225171368,-239160138,-185998302,-257500000,-188071369
2009,4. Ajustement caisse,0,0,0,-22900000,95474026
2009,5. Solde global base caisse ,-225171368,-239160138,-185998302,-280400000,-92597343
2009,Solde global base caisse hors dons,-429022381,-518227599,-406598302,-551600000,-325025729
2009,6. Financement,226638564,239746422,184500000,280400000,93654885
2009,6.1. Financement exterieur,205417632,198946422,133600000,136700000,109562810
2009,6.2. Financement intérieur,21220932,40800000,50900000,143700000,-15907925
2009,Erreurs et omissions(-=surfinancement),,,,,-1057542
2009,Gap de financement,-1467196,-586284,1498302,0,0
,,,,,,
, ,,,,,
