TOFE 2011,,,,,
,Prévisions          Loi Fin initiale 2011,Prévisions        Loi Fin rect 2011,Programme initial   2011,Programme revisé,Total  Réalisations
1. Recettes totales et dons,960 991 120,1 043 896 120,981 871 746,1 073 594 742,1 047 286 587
1.1. Recettes totales,700 745 374,711 745 374,721 400 000,744 722 996,793 616 305
1.1.1. Recettes courantes,700 745 374,711 745 374,721 400 000,744 722 689,793 615 824
1.1.1.1 Recettes fiscales*,609 133 462,614 883 417,635 100 000,661 559 131,695 633 861
1.1.1.2  Recettes non fiscales,91 611 912,96 861 957,86 300 000,83 163 558,97 981 964
1.1.2. Recettes en capital,0,0,0,307,481
1.2. Dons,260 245 746,332 150 746,260 471 746,328 871 746,253 670 282
1.2.1. projets,130 371 746,130 371 746,130 371 746,130 371 746,73 100 000
1.2.2. programmes,129 874 000,201 779 000,130 100 000,198 500 000,180 570 282
2. Dépenses totales et prêts nets ,1 120 257 032,1 258 305 220,1 161 172 056,1 258 026 150,1 166 039 470
2.1. Dépenses totales,1 126 547 769,1 264 595 957,1 156 172 056,1 264 594 266,1 163 387 070
2.1.1. Dépenses courantes,560 856 402,633 397 072,571 100 000,633 395 380,628 253 944
Salaires,260 000 000,281 537 029,265 500 000,281 537 029,281 386 164
Dépenses de fonctionnement,101 100 000,100 818 237,106 800 000,100 818 237,97 144 429
Intérêts dus,21 006 783,22 001 692,22 400 000,22 000 000,28 291 579
sur dette intérieure,12 157 455,13 152 364,12 963 765,12 252 364,15 903 318
sur dette extérieure,8 849 328,8 849 328,9 436 235,9 747 636,12 388 261
Transferts courants,178 749 619,229 040 114,176 400 000,229 040 114,221 431 772
2.1.2. Dépenses en capital,565 691 367,584 635 591,585 072 056,584 635 591,488 569 832
Investissements sur ressources propres,263 719 311,285 763 535,283 100 000,285 763 535,282 527 168
Transferts en capital et restructurations,7 000 000,3 900 000,7 000 000,3 900 000,3 849 085
Investissements sur ressources extérieures,294 972 056,294 972 056,294 972 056,294 972 056,202 193 579
        Dons,130 371 746,130 371 746,130 371 746,130 371 746,73 100 000
        Prêts,164 600 310,164 600 310,164 600 310,164 600 310,129 093 579
2.1.3. Dépenses d'invest exercice 2010,46 563 294,46 563 295,46 563 295,,
2.2. Prêts nets ,-6 290 737,-6 290 737,5 000 000,-6 568 116,2 652 400
3. Solde global (base engagement),-159 265 912,-214 409 100,-179 300 310,-184 431 408,-118 752 883
Solde global hors dons (base engagement),-419 511 658,-546 559 846,-439 772 056,-496 326 839,-372 423 165
Solde primaire,-103 532 819,-229 586 098,-122 400 000,-178 100 000,-141 938 007
Solde de base,-124 539 602,-251 587 790,-144 800 000,-201 354 783,-170 229 587
4. Ajustement caisse,0,0,0,-21 200 000,13 185 819
5. Solde global base caisse ,-159 265 912,-214 409 100,-179 300 310,-205 631 408,-105 567 064
Solde global base caisse hors dons,-419 511 658,-546 559 846,-439 772 056,-517 526 839,-359 237 346
6. Financement,134 407 093,179 409 100,179 300 310,200 800 310,104 851 506
6.1. Financement exterieur,142 916 038,142 916 038,138 100 310,142 900 310,108 800 673
6.2. Financement intérieur,-8 508 945,36 493 062,41 200 000,57 900 000,-3 949 167
Recettes de privatisations,0,0,0,0,45 571
Erreurs et omissions(-=surfinancement),715 558,,,,
Gap de financement,24 858 819,35 000 000,0,4 831 098,0
