ANNEXE1 : Tableau des Opérations Financières de l’Etat ;
TOFE 2007;Prévisions;Programme;Projections;PPTEet IADM;Total;
Loi Fin Rec Sept 07;Rév 2007;Rév 2007;2007;Réalisations;
1. Recettes totales et dons;736 173 372;629 335 057;678 217 770;0;650 547 102;
Tab.3 1.1. Recettes totales;488 707 506;450 400 000;440 217 770;0;440 247 173;
1.1.1. Recettes courantes;488 539 762;450 233 229;440 050 999;0;440 090 958;
1.1.2. Recettes fiscales*;448 872 530;413 500 000;404 150 999;0;405 237 668;
1.1.3.  Recettes non fiscales;39 667 232;36 733 229;35 900 000;34 853 290;
1.1.4. Recettes en capital;167 744;166 771;166 771;156 215;
1.2. Dons;247 465 866;178 935 057;238 000 000;0;210 299 929;
Tab.6 1.2.1. projets;144 630 809;108 500 000;142 100 000;0;114 673 294;
Tab.5 1.2.2. programme;102 835 057;70 435 057;95 900 000;0;95 626 635;
0;
Tab. 72. Dépenses et prêts nets 1/;972 838 163;855 459 955;885 300 000;33 740 045;834 762 743;
2.1. Dépenses courantes;449 038 783;433 284 000;447 300 000;11 816 000;450 279 430;
Salaires;187 935 478;186 400 000;187 900 000;1 500 000;187 595 715;
Dépenses de Fonctionnement;104 547 966;97 600 000;99 100 000;1 500 000;94 837 665;
Intérêts dus;9 150 337;8 200 000;10 400 000;0;13 054 659;
Tab.7&11;sur dette intérieure;4 955 523;4 000 000;5 900 000;0;6 359 275;
Tab.7&10;sur dette extérieure;4 194 814;4 200 000;4 500 000;0;6 695 384;
Transferts courants*;147 405 002;141 084 000;149 900 000;8 816 000;154 791 391;
Tab.7 2.2. Dépenses en capital;520 626 974;425 075 955;433 300 000;21 924 045;383 308 624;
financées sur ressources propres;162 697 533;160 175 955;167 000 000;21 924 045;142 792 430;
 transferts en capital et restructurations;23 600 000;23 600 000;23 600 000;0;32 877 527;
financées sur ressources extérieures;334 329 441;241 300 000;242 700 000;0;207 638 667;
       sur Dons;144 630 809;108 500 000;142 100 000;0;114 673 294;
      sur Prêts;189 698 632;132 800 000;100 600 000;0;92 965 373;
2.3. Prêts nets 2/;3 172 406;-2 900 000;4 700 000;0;1 174 688;
3. Solde global (base engagement);-236 664 791;-226 124 898;-207 082 230;-33 740 045;-184 215 641;
4. Ajustement caisse;0;0;-10 000 000;33 740 045;14 109 839;
5. Solde global base caisse ;-236 664 791;-226 124 898;-217 082 230;0;-170 105 801;
Solde global base caisse hors dons;-484 130 657;-405 059 955;-455 082 230;0;-380 405 731;
6. Financement;236 664 791;230 706 943;216 400 000;0;172 149 948;
6.1. Financement exterieur;198 296 604;175 239 972;107 300 000;0;99 303 487;
6.2. Financement interieur;38 368 187;55 466 971;109 100 000;0;72 846 461;
Erreurs et omissions(-=surfinancement);-2 044 146;
Gap de financement;0;-4 582 045;682 230;0;0;
i ;
 ;
TOFE 2008;
Prévisions Loi initiale;Prévisions Loi rectificative Programme Projections;Total;
1. Recettes totales et dons;690 522 753;721 299 515 705 976 754 698 700 000 630 752 098;
Tab.3;1.1. Recettes totales;507 861 787;507 861 787 477 670 754 479 600 000 483 833 898;
1.1.1. Recettes courantes;507 684 083;507 684 083 477 493 050 479 420 740 483 826 572;
1.1.1.1 Recettes fiscales*;475 454 992;475 454 992 445 452 909 446 000 000 444 671 069;
1.1.1.2  Recettes non fiscales;32 229 091;32 229 091;32 040 141;33 420 740;39 155 503;
1.1.2. Recettes en capital;177 704;177 704;177 704;179 260;7 326;
1.2. Dons;182 660 966;213 437 728 228 306 000 219 100 000 146 918 200;
T ab.6;1.2.1. projets;118 478 628;118 478 628 162 000 000 118 500 000;58 684 742;
T ab.5;1.2.2. programme;64 182 338;94 959 100;66 306 000 100 600 000;88 233 458;
T ab. 7 2. Dépenses et prêts nets 1/;947 855 438;965 914 370 925 127 897 885 500 000 791 858 183;
2.1. Dépenses courantes;446 267 629;455 830 850 452 513 464 446 360 000 455 189 053;
Salaires;193 696 088;198 996 088 193 700 000 198 000 000 198 826 233;
Dépenses de Fonctionnement;100 255 998;100 611 675 104 500 000;99 300 000;95 308 772;
Intérêts dus;13 113 463;13 613 503;13 113 464;13 700 000;12 693 275;
T ransferts courants*;139 202 080;142 609 584 141 200 000 135 360 000 148 360 773;
Tab.7;2.2. Dépenses en capital;504 513 376;513 009 087 450 540 000 424 340 000 325 066 705;
financées sur ressources propres;203 188 405;217 684 116 163 630 000 185 930 000 194 252 124;
 transferts en capital et restructurations;13 710 000;7 710 000;13 710 000;13 710 000;6 172 216;
financées sur ressources extérieures;287 614 971;287 614 971 273 200 000 224 700 000 124 642 365;
       sur Dons;118 478 628;118 478 628 162 000 000 118 500 000;55 313 362;
      sur Prêts;169 136 343;169 136 343 111 200 000 106 200 000;69 329 003;
2.3. Prêts nets 2/;-2 925 567;-2 925 567;22 074 433;14 800 000;11 602 425;
3. Solde global (base engagement);-257 332 685;-244 614 855 -219 151 143 -186 800 000 -161 106 085;
4. Ajustement caisse;0;0;0;-8 800 000;19 231 371;
5. Solde global base caisse ;-257 332 685;-244 614 855 -219 151 143 -195 600 000 -141 874 714;
Solde global base caisse hors dons;-439 993 651;-458 052 583 -447 457 143 -414 700 000 -288 792 914;
6. Financement;258 946 187;250 306 492 204 883 823 186 200 000 144 781 922;
6.1. Financement exterieur;205 976 187;204 836 687 144 100 000 144 200 000 102 279 659;
6.2. Financement interieur;52 970 000;45 469 805;60 783 823;42 000 000;42 502 263;
Erreurs et omissions(-=surfinancement);-2 907 208;
Gap de financement;-1 613 502;-5 691 637;14 267 320;9 400 000;0;
ii ;
 ;
TOFE 2009;Prévisions;Prévisions;Programme initial Programme revisé;Total;
Loi Fin initiale ;Loi Fin rect;2009;sept-09;Réalisations;
1. Recettes totales et dons;777 411 763;854 628 211;757 001 698;778 100 000;771 523 642;
Tab.3;1.1. Recettes totales;573 560 750;575 560 750;536 401 698;506 900 000;539 095 255;
1.1.1. Recettes courantes;573 554 049;575 554 049;536 395 236;506 892 016;539 091 339;
1.1.1.1 Recettes fiscales*;536 333 980;536 333 980;500 501 698;463 100 000;494 578 785;
Impôts sur revenus et bénéfices;153 540 710;153 540 710;120 200 000;106 300 000;106 686 380;
dont impôts sur BIC sociétés;81 520 601;81 520 601;63 818 750;54 361 738;48 844 656;
Impôt sur la main d'œuvre;4 275 522;4 275 522;7 110 907;6 212 276;6 243 252;
Impôt sur la propriété;2 958 755;2 958 755;4 920 904;4 299 032;3 487 126;
Taxes sur biens et services;300 415 690;300 415 690;273 900 000;257 000 000;282 942 742;
Autres recettes fiscales;3 708 701;3 708 701;6 168 189;5 388 693;5 490 214;
1.1.1.2  Recettes non fiscales;37 220 069;39 220 069;35 893 538;43 792 016;44 512 554;
1.1.2. Recettes en capital;6 701;6 701;6 462;7 984;3 917;
1.2. Dons;203 851 013;279 067 461;220 600 000;271 200 000;232 428 386;
Tab.6;1.2.1. projets;134 851 013;140 006 503;167 800 000;129 900 000;86 924 440;
Tab.5;1.2.2. programmes;69 000 000;139 060 958;52 800 000;141 300 000;145 503 947;
Tab. 7;2. Dépenses totales et prêts nets ;1 002 583 131;1 093 788 349;943 000 000;1 035 600 000;959 595 011;
2.1. Dépenses totales;1 005 136 881;1 098 388 349;945 000 000;1 040 600 000;956 438 735;
2.1.1. Dépenses courantes;468 980 531;503 576 509;466 000 000;514 900 000;499 074 562;
Salaires;207 396 156;229 900 000;203 000 000;229 900 000;228 436 133;
